seed	dq	dp	de	dgf	dgm	dg1	dg2	dg3	dg4	pf	pm	p1	p2	p3	p4	blue_daf	blue_dam	blue_da1	blue_da2	blue_da3	blue_da4	pink_daf	pink_dam	pink_da1	pink_da2	pink_da3	pink_da4	blue_laf	blue_lam	blue_la1	blue_la2	blue_la3	blue_la4	pink_laf	pink_lam	pink_la1	pink_la2	pink_la3	pink_la4	pedid	xr1	blue_recomb	x1	xr2	pink_recomb	x2	x	i	dallele	lallele	Y
463937847	0.05	0.95	0.5	1	1	1	1	1	1	0.1782534487	0.5496825253	0.5861027633	0.5244366948	0.3157081944	0.4520046645	1	1	1	1	1	1	1	1	1	1	1	1	5	5	5	5	5	5	2	5	5	5	5	5	1	0.6234570307	0	0.0205710237	0.8318180502	0	0.9870145204	0.304009329	1	1	5	0
463937847	0.05	0.95	0.5	1	1	1	1	1	1	0.1782534487	0.5496825253	0.5861027633	0.5244366948	0.3157081944	0.4520046645	1	1	1	1	1	1	1	1	1	1	1	1	5	5	5	5	5	5	2	5	5	5	5	5	1	0.6234570307	0	0.0205710237	0.8318180502	0	0.9870145204	0.304009329	1	1	2	0
866987325	0.05	0.95	0.5	1	1	1	1	1	1	0.3906850684	0.5452778764	-0.265408158	-0.256463115	0.5529980591	-0.086595855	1	1	1	1	1	1	1	1	1	1	1	1	5	2	1	5	1	1	1	4	2	2	4	2	2	0.9400171987	0	0.7342605459	0.9020078894	0	0.4989527289	-0.773191711	1	1	5	0
866987325	0.05	0.95	0.5	1	1	1	1	1	1	0.3906850684	0.5452778764	-0.265408158	-0.256463115	0.5529980591	-0.086595855	1	1	1	1	1	1	1	1	1	1	1	1	5	2	1	5	1	1	1	4	2	2	4	2	2	0.9400171987	0	0.7342605459	0.9020078894	0	0.4989527289	-0.773191711	1	1	1	0
998823970	0.05	0.95	0.5	1	1	1	1	1	1	0.0388084245	0.5888532861	0.5011162583	1.3225938525	-0.544841067	-0.915852339	1	1	1	1	1	1	1	1	1	1	1	1	4	4	4	4	4	4	4	4	4	4	4	4	3	0.4551060942	0	0.8308473927	0.8741349317	0	0.5616698151	-2.431704678	1	1	4	0
998823970	0.05	0.95	0.5	1	1	1	1	1	1	0.0388084245	0.5888532861	0.5011162583	1.3225938525	-0.544841067	-0.915852339	1	1	1	1	1	1	1	1	1	1	1	1	4	4	4	4	4	4	4	4	4	4	4	4	3	0.4551060942	0	0.8308473927	0.8741349317	0	0.5616698151	-2.431704678	1	1	4	0
734635899	0.05	0.95	0.5	1	1	1	1	1	1	-0.21564285	1.0096869049	0.9516975189	0.4209850623	1.06830704	0.063440572	1	1	1	1	1	1	1	1	1	1	1	1	5	6	5	5	5	5	5	3	6	3	6	3	4	0.8599847475	0	0.4983037685	0.8867703028	0	0.7267521409	-0.473118856	1	1	5	0
734635899	0.05	0.95	0.5	1	1	1	1	1	1	-0.21564285	1.0096869049	0.9516975189	0.4209850623	1.06830704	0.063440572	1	1	1	1	1	1	1	1	1	1	1	1	5	6	5	5	5	5	5	3	6	3	6	3	4	0.8599847475	0	0.4983037685	0.8867703028	0	0.7267521409	-0.473118856	1	1	5	0
1962974514	0.05	0.95	0.5	1	1	1	1	1	1	0.4646599734	-0.152404794	0.0999263096	0.2749657235	-0.247812487	0.8318400221	1	1	1	1	1	1	1	1	1	1	1	1	4	2	1	1	4	4	1	3	2	2	3	2	5	0.3580578409	0	0.2918987406	0.7963616358	0	0.0482422607	1.0636800442	1	1	4	0
1962974514	0.05	0.95	0.5	1	1	1	1	1	1	0.4646599734	-0.152404794	0.0999263096	0.2749657235	-0.247812487	0.8318400221	1	1	1	1	1	1	1	1	1	1	1	1	4	2	1	1	4	4	1	3	2	2	3	2	5	0.3580578409	0	0.2918987406	0.7963616358	0	0.0482422607	1.0636800442	1	1	1	0
